Id,UserId,PostId,VoteTypeId,BountyAmount,CreationDate
215,,64,2,,2010-08-18T00:00:00.000
216,,62,2,,2010-08-18T00:00:00.000
217,,61,2,,2010-08-18T00:00:00.000
218,,46,2,,2010-08-18T00:00:00.000
219,,45,2,,2010-08-18T00:00:00.000
220,,47,2,,2010-08-18T00:00:00.000
221,,57,2,,2010-08-18T00:00:00.000
222,,73,2,,2010-08-18T00:00:00.000
223,,73,2,,2010-08-18T00:00:00.000
224,,60,2,,2010-08-18T00:00:00.000
225,,6,2,,2010-08-19T00:00:00.000
226,,29,2,,2010-08-19T00:00:00.000
227,,33,2,,2010-08-19T00:00:00.000
228,,41,2,,2010-08-19T00:00:00.000
229,,79,2,,2010-08-19T00:00:00.000
230,,73,2,,2010-08-19T00:00:00.000
231,,75,2,,2010-08-19T00:00:00.000
232,,81,2,,2010-08-19T00:00:00.000
233,,82,2,,2010-08-19T00:00:00.000
234,,80,2,,2010-08-19T00:00:00.000
235,,2,2,,2010-08-19T00:00:00.000
236,,83,2,,2010-08-19T00:00:00.000
237,,83,2,,2010-08-19T00:00:00.000
238,,83,2,,2010-08-20T00:00:00.000
239,,68,2,,2010-08-20T00:00:00.000
240,,84,2,,2010-08-20T00:00:00.000
241,,73,2,,2010-08-20T00:00:00.000
242,,72,2,,2010-08-20T00:00:00.000
243,,76,2,,2010-08-20T00:00:00.000
244,,82,2,,2010-08-20T00:00:00.000
245,,67,2,,2010-08-20T00:00:00.000
246,,78,2,,2010-08-20T00:00:00.000
247,,78,2,,2010-08-20T00:00:00.000
248,,88,2,,2010-08-20T00:00:00.000
249,,86,2,,2010-08-20T00:00:00.000
250,,84,2,,2010-08-20T00:00:00.000
251,,85,2,,2010-08-20T00:00:00.000
252,,68,2,,2010-08-20T00:00:00.000
253,,79,2,,2010-08-20T00:00:00.000
254,,93,2,,2010-05-12T00:00:00.000
255,,93,2,,2010-05-12T00:00:00.000
256,,93,2,,2010-05-12T00:00:00.000
257,,94,2,,2010-05-27T00:00:00.000
258,,95,2,,2010-02-04T00:00:00.000
259,,95,2,,2010-02-04T00:00:00.000
260,,95,2,,2010-02-07T00:00:00.000
261,,95,2,,2010-02-16T00:00:00.000
262,,95,2,,2010-02-16T00:00:00.000
263,,96,2,,2010-02-04T00:00:00.000
264,,96,2,,2010-02-04T00:00:00.000
265,,96,2,,2010-02-07T00:00:00.000
266,,96,2,,2010-02-16T00:00:00.000
267,,97,2,,2010-02-04T00:00:00.000
268,,97,2,,2010-02-07T00:00:00.000
269,,97,2,,2010-02-16T00:00:00.000
270,,98,2,,2010-02-16T00:00:00.000
271,,99,2,,2009-10-06T00:00:00.000
272,,99,2,,2009-10-06T00:00:00.000
273,,99,2,,2009-10-07T00:00:00.000
274,,100,2,,2009-10-07T00:00:00.000
275,,93,10,,2010-08-22T00:00:00.000
276,,100,2,,2010-08-22T00:00:00.000
277,,95,2,,2010-08-22T00:00:00.000
278,,100,2,,2010-08-22T00:00:00.000
279,,99,2,,2010-08-22T00:00:00.000
280,,48,2,,2010-08-22T00:00:00.000
281,,54,2,,2010-08-22T00:00:00.000
282,,85,2,,2010-08-22T00:00:00.000
283,,99,2,,2010-08-23T00:00:00.000
284,,43,2,,2010-08-23T00:00:00.000
285,,102,2,,2010-08-23T00:00:00.000
286,,40,2,,2010-08-23T00:00:00.000
287,,103,2,,2010-08-23T00:00:00.000
288,,103,2,,2010-08-23T00:00:00.000
289,,102,2,,2010-08-23T00:00:00.000
290,,103,2,,2010-08-23T00:00:00.000
291,,103,2,,2010-08-23T00:00:00.000
292,,105,2,,2010-08-23T00:00:00.000
293,,110,2,,2010-08-23T00:00:00.000
294,,101,2,,2010-08-23T00:00:00.000
295,,106,2,,2010-08-23T00:00:00.000
297,,105,2,,2010-08-23T00:00:00.000
298,,107,2,,2010-08-24T00:00:00.000
299,,105,2,,2010-08-24T00:00:00.000
300,,106,2,,2010-08-24T00:00:00.000
301,,110,2,,2010-08-24T00:00:00.000
302,,107,2,,2010-08-24T00:00:00.000
303,,108,2,,2010-08-24T00:00:00.000
304,,109,2,,2010-08-24T00:00:00.000
305,,101,2,,2010-08-24T00:00:00.000
306,,103,1,,2010-08-24T00:00:00.000
307,,113,2,,2010-08-24T00:00:00.000
308,,111,2,,2010-08-25T00:00:00.000
309,,115,1,,2010-08-25T00:00:00.000
310,,76,1,,2010-08-25T00:00:00.000
311,,46,1,,2010-08-25T00:00:00.000
312,,115,2,,2010-08-25T00:00:00.000
313,,114,2,,2010-08-25T00:00:00.000
314,,111,2,,2010-08-25T00:00:00.000
315,,109,2,,2010-08-25T00:00:00.000
316,,112,2,,2010-08-25T00:00:00.000
317,,113,2,,2010-08-25T00:00:00.000
318,,15,2,,2010-08-25T00:00:00.000
319,,117,2,,2010-08-25T00:00:00.000
321,,118,2,,2010-08-26T00:00:00.000
322,,118,2,,2010-08-26T00:00:00.000
323,,118,2,,2010-08-26T00:00:00.000
324,,118,2,,2010-08-26T00:00:00.000
325,,115,2,,2010-08-26T00:00:00.000
326,,114,2,,2010-08-26T00:00:00.000
327,,37,2,,2010-08-27T00:00:00.000
329,,38,2,,2010-08-27T00:00:00.000
330,,37,2,,2010-08-31T00:00:00.000
331,,40,2,,2010-08-31T00:00:00.000
332,,114,2,,2010-08-31T00:00:00.000
333,,109,2,,2010-08-31T00:00:00.000
334,,43,2,,2010-08-31T00:00:00.000
335,,110,2,,2010-08-31T00:00:00.000
336,,121,2,,2010-08-31T00:00:00.000
337,,122,2,,2010-08-31T00:00:00.000
338,,122,2,,2010-08-31T00:00:00.000
339,,121,2,,2010-09-01T00:00:00.000
340,,123,2,,2010-09-01T00:00:00.000
341,,124,2,,2010-09-02T00:00:00.000
342,,123,2,,2010-09-02T00:00:00.000
343,,123,3,,2010-09-02T00:00:00.000
344,,121,2,,2010-09-02T00:00:00.000
345,,126,2,,2010-09-07T00:00:00.000
347,,126,2,,2010-09-07T00:00:00.000
348,,125,2,,2010-09-07T00:00:00.000
349,,126,2,,2010-09-07T00:00:00.000
350,,126,2,,2010-09-08T00:00:00.000
351,,128,3,,2010-09-09T00:00:00.000
352,,128,2,,2010-09-09T00:00:00.000
353,,129,3,,2010-09-09T00:00:00.000
354,,128,2,,2010-09-09T00:00:00.000
355,,127,2,,2010-09-09T00:00:00.000
356,,129,2,,2010-09-09T00:00:00.000
357,,132,2,,2010-09-09T00:00:00.000
358,,128,2,,2010-09-09T00:00:00.000
359,,130,2,,2010-09-09T00:00:00.000
360,,126,1,,2010-09-09T00:00:00.000
361,,132,2,,2010-09-09T00:00:00.000
362,,132,2,,2010-09-09T00:00:00.000
363,,127,2,,2010-09-09T00:00:00.000
364,,128,2,,2010-09-09T00:00:00.000
365,,133,2,,2010-09-09T00:00:00.000
366,,132,2,,2010-09-09T00:00:00.000
367,,133,2,,2010-09-09T00:00:00.000
368,,133,2,,2010-09-09T00:00:00.000
369,,131,2,,2010-09-09T00:00:00.000
370,,132,2,,2010-09-09T00:00:00.000
371,,133,2,,2010-09-09T00:00:00.000
372,,128,2,,2010-09-09T00:00:00.000
373,,132,2,,2010-09-09T00:00:00.000
374,,133,2,,2010-09-09T00:00:00.000
375,,134,2,,2010-09-09T00:00:00.000
376,,133,2,,2010-09-09T00:00:00.000
377,,134,1,,2010-09-09T00:00:00.000
378,,128,2,,2010-09-09T00:00:00.000
379,,127,2,,2010-09-09T00:00:00.000
380,,136,2,,2010-09-09T00:00:00.000
381,,136,1,,2010-09-09T00:00:00.000
382,,135,2,,2010-09-09T00:00:00.000
383,,28,2,,2010-09-10T00:00:00.000
384,,134,2,,2010-09-10T00:00:00.000
385,,132,2,,2010-09-10T00:00:00.000
386,,133,2,,2010-09-10T00:00:00.000
387,,131,2,,2010-09-10T00:00:00.000
388,,11,2,,2010-09-11T00:00:00.000
389,,126,2,,2010-09-11T00:00:00.000
390,,139,2,,2010-09-11T00:00:00.000
391,,38,2,,2010-09-12T00:00:00.000
392,,140,2,,2010-09-13T00:00:00.000
393,,141,2,,2010-09-13T00:00:00.000
